,title,description,url,publishedAt,content,domain,topic,injuries,trades,retirements,draft,all-stars,playoffs,rookies,highlights,fantasy
592,JaVale McGee throws down the alley-oop in the third quarter,JaVale McGee throws down the alley-oop in the third quarter,http://www.nba.com/video/2020/02/11/0021900801-javale-mcgee-los-angeles-lakers-phoenix-suns-dunk-3q,2020-02-11T05:08:56Z,,nba.com,highlights,,,,,,,,,
593,Nightly Notable: Pascal Siakam | Feb. 10,Pascal Siakam dominated with 34 points and 6 rebounds in the Raptors. 137-126 win over the Timberwolves.,http://www.nba.com/video/2020/02/10/20200210-nightly-notable,2020-02-11T04:48:53Z,,nba.com,highlights,,,,,,,,,
594,Nikola Jokic with 13 Assists vs. San Antonio Spurs,Nikola Jokic with 13 Assists vs. San Antonio Spurs,http://www.nba.com/video/2020/02/10/0021900799-nikola-jokic-13-assists-vs-san-antonio-spurs,2020-02-11T04:46:52Z,,nba.com,highlights,,,,,,,,,
595,Jae Crowder with 16 Points in the 2nd Quarter vs. Golden State Warriors,Jae Crowder with 16 Points in the 2nd Quarter vs. Golden State Warriors,http://www.nba.com/video/2020/02/10/0021900800-jae-crowder-16-points-2nd-quarter-vs-golden-state-warriors,2020-02-11T04:45:02Z,,nba.com,highlights,,,,,,,,,
596,LaMarcus Aldridge (33 points) Highlights vs. Denver Nuggets,LaMarcus Aldridge (33 points) Highlights vs. Denver Nuggets,http://www.nba.com/video/2020/02/10/0021900799-lamarcus-aldridge-33-points-highlights-vs-denver-nuggets,2020-02-11T04:40:32Z,,nba.com,highlights,,,,,,,,,
597,"Denver Nuggets 127, San Antonio Spurs 120: Three takeaways","The Nuggets rallied from 23 points down to remain one of the hottest teams in the NBA with an impressive 127-120 win over the San Antonio Spurs at home. Jamal Murray continued his dominant form since returning from injury, leading the Nuggets with 26 points a…",https://www.nba.com/nuggets/news/nuggets-spurs-recap-20200210,2020-02-11T04:38:48Z,"The Nuggets rallied from 23 points down to remain one of the hottest teams in the NBA with an impressive 127-120 win over the San Antonio Spurs at home. 
Jamal Murray continued his dominant form since returning from injury, leading the Nuggets with 26 points… [+4271 chars]",nba.com,highlights,,,,,,,,,
598,Top 10 | Feb. 10,Check out the top plays from across the NBA.,http://www.nba.com/video/2020/02/10/20200210-top-10,2020-02-11T04:31:00Z,,nba.com,highlights,,,,,,,,,
599,The Fast Break | Feb. 10,Catch up on all the action from across the NBA with the Fast Break.,http://www.nba.com/video/2020/02/10/20200210-fast-break,2020-02-11T04:30:46Z,,nba.com,highlights,,,,,,,,,
600,Miami Heat with a 13-0 Run vs. Golden State Warriors,Miami Heat with a 13-0 Run vs. Golden State Warriors,http://www.nba.com/video/2020/02/10/0021900800-miami-heat-13-0-run-vs-golden-state-warriors,2020-02-11T04:29:13Z,,nba.com,highlights,,,,,,,,,
601,Rajon Rondo with 15 Points in the 2nd Quarter vs. Phoenix Suns,Rajon Rondo with 15 Points in the 2nd Quarter vs. Phoenix Suns,http://www.nba.com/video/2020/02/10/0021900801-rajon-rondo-15-points-2nd-quarter-vs-phoenix-suns,2020-02-11T04:29:02Z,,nba.com,highlights,,,,,,,,,
602,Jordan Clarkson (25 points) Highlights vs. Dallas Mavericks,Jordan Clarkson (25 points) Highlights vs. Dallas Mavericks,http://www.nba.com/video/2020/02/10/0021900798-jordan-clarkson-25-points-highlights-vs-dallas-mavericks,2020-02-11T04:26:09Z,,nba.com,highlights,,,,,,,,,
603,Tim Hardaway Jr. (33 points) Highlights vs. Utah Jazz,Tim Hardaway Jr. (33 points) Highlights vs. Utah Jazz,http://www.nba.com/video/2020/02/10/0021900798-tim-hardaway-jr-33-points-highlights-vs-utah-jazz,2020-02-11T04:26:09Z,,nba.com,highlights,,,,,,,,,
604,Dallas Mavericks vs. Utah Jazz - Game Highlights,60-Second Recap: Utah Jazz vs. Dallas Mavericks,http://www.nba.com/video/2020/02/10/0021900798-dallas-mavericks-vs-utah-jazz-game-highlights,2020-02-11T04:17:02Z,,nba.com,highlights,,,,,,,,,
605,Denver Nuggets Back in the Game in the fourth quarter,Denver Nuggets Back in the Game in the fourth quarter,http://www.nba.com/video/2020/02/10/0021900799-jamal-murray-denver-nuggets-san-antonio-spurs-3-pointer-4q,2020-02-11T04:03:07Z,,nba.com,highlights,,,,,,,,,
606,Denver Nuggets with a 12-0 Run vs. San Antonio Spurs,Denver Nuggets with a 12-0 Run vs. San Antonio Spurs,http://www.nba.com/video/2020/02/10/0021900799-denver-nuggets-12-0-run-vs-san-antonio-spurs,2020-02-11T04:02:45Z,,nba.com,highlights,,,,,,,,,
607,Monte Morris knocks it down as the clock expires in the third quarter,Monte Morris knocks it down as the clock expires in the third quarter,http://www.nba.com/video/2020/02/10/0021900799-monte-morris-denver-nuggets-san-antonio-spurs-3-pointer-3q,2020-02-11T04:01:46Z,,nba.com,highlights,,,,,,,,,
608,Dunk by Cameron Johnson in the first quarter,Dunk by Cameron Johnson in the first quarter,http://www.nba.com/video/2020/02/10/0021900801-cameron-johnson-los-angeles-lakers-phoenix-suns-dunk-1q-0,2020-02-11T03:59:57Z,,nba.com,highlights,,,,,,,,,
609,"Scuffling offense, too many turnovers add up to a season-low 76 points in loss to Hornets","DETROIT – If you’re wondering what a rebuilding project looks like, well, sometimes it looks like what unfolded on a random Monday night in February with another rebuilding team, the Charlotte Hornets, on the opposite bench. “It just was an ugly game,” Dwane …",https://www.nba.com/pistons/features/scuffling-offense-too-many-turnovers-add-season-low-76-points-loss-hornets,2020-02-11T03:57:12Z,"DETROIT If youre wondering what a rebuilding project looks like, well, sometimes it looks like what unfolded on a random Monday night in February with another rebuilding team, the Charlotte Hornets, on the opposite bench.
It just was an ugly game, Dwane Case… [+4040 chars]",nba.com,highlights,,,,,,,,,
610,Cameron Johnson with the flush in the first quarter,Cameron Johnson with the flush in the first quarter,http://www.nba.com/video/2020/02/10/0021900801-cameron-johnson-los-angeles-lakers-phoenix-suns-dunk-1q,2020-02-11T03:52:53Z,,nba.com,highlights,,,,,,,,,
611,Eric Bledsoe (28 points) Highlights vs. Sacramento Kings,Eric Bledsoe (28 points) Highlights vs. Sacramento Kings,http://www.nba.com/video/2020/02/10/0021900797-eric-bledsoe-28-points-highlights-vs-sacramento-kings,2020-02-11T03:36:37Z,,nba.com,highlights,,,,,,,,,
