X1,title,description,url,publishedAt,content,domain
64,"Cavs, Drummond haven't talked long-term plans","Cavs general manager Koby Altman said he considers the newly acquired Andre Drummond a ""long-term play,"" though the two sides have not discussed what the center plans to do with his player option.",https://www.espn.com/nba/story/_/id/28654166/cavs-new-acquisition-andre-drummond-talked-long-term-plans,2020-02-07T17:53:13Z,"After countless Midwest battles throughout the years, Cleveland Cavaliers general manger Koby Altman is excited to welcome two-time All-Star Andre Drummond to the squad.
With Drummond's player option looming, Altman says he's been in touch with Drummond but … [+3493 chars]",espn.com
68,LeBron's dunk gives us another iconic image,This isn't the first time a LeBron James dunk has been captured in a photo that has to be seen to be believed.,https://www.espn.com/nba/story/_/id/28653644/lebron-james-adds-epic-collection-iconic-images-see-dunk-photo,2020-02-07T17:33:41Z,"LeBron James threw down a two-handed reverse windmill slam Thursday night, thrilling fans with another electrifying highlight in his 17th NBA season -- one that has already seen him voted in as an All-Star captain, move into third place on the NBA's career sc… [+2061 chars]",espn.com
83,Elite international prospects headline BWB camp,"Several elite international prospects are slated to attend the sixth annual Basketball Without Borders (BWB) Global Camp in Chicago Feb. 14-16, a joint venture of the NBA and FIBA held during All-Star Weekend.",https://www.espn.com/nba/story/_/id/28653151/elite-international-prospects-headline-6th-basketball-borders-global-camp,2020-02-07T14:54:02Z,"Several elite international prospects are slated to attend the sixth annual Basketball Without Borders (BWB) Global Camp in Chicago February 14-16, a joint venture of the NBA and FIBA held during All-Star Weekend.
Despite only being conceived in 2015, the BW… [+4339 chars]",espn.com
87,How the NBA trade deadline sets up 2020 free agency - ESPN,"How the NBA trade deadline sets up 2020 free agency ESPN Chris Broussard talks NBA trade deadline, 76ers struggles, Iggy, Kuzma, and more | NBA |THE HERD The Herd with Colin Cowherd The biggest winners and losers of the 2020 NBA trade deadline Yahoo Sports 20…",https://www.espn.com/nba/insider/story/_/id/28647981/how-nba-trade-deadline-sets-2020-free-agency,2020-02-07T13:58:36Z,"The 12 trades that teams made in the 48 hours before the 2020 NBA trade deadline is a preview of what to expect this offseason. With salary-cap space in short supply, the transaction game will have to come more by trades than lucrative free-agent contracts.
… [+471 chars]",espn.com
94,Iggy 'excited about basketball again' after trade,"Veteran swingman Andre Iguodala says his trade to the Miami Heat got him ""excited about basketball again,"" and that he is looking forward to the opportunity to play with a young and hungry new group.",https://www.espn.com/nba/story/_/id/28658072/andre-iguodala-says-miami-heat-perfect-spot-continue-career,2020-02-08T08:28:46Z,"SACRAMENTO, Calif. -- Veteran swingman Andre Iguodala says his trade to the Miami Heat got him ""excited about basketball again,"" and that he is looking forward to the opportunity to play with a young and hungry new group.
""I kind of got excited about basketb… [+3479 chars]",espn.com
96,Dame furious after missed call: 'Cost us a game',Damian Lillard and the Portland Trail Blazers were livid Friday night after a missed goaltending violation at the end of their game against the Utah Jazz denied the Blazers a shot at tying things up.,https://www.espn.com/nba/story/_/id/28658038/damian-lillard-blazers-livid-missed-call-final-seconds-vs-jazz,2020-02-08T07:59:41Z,"Damian Lillard and the Portland Trail Blazers were livid Friday night after a missed goaltending violation at the end of their game against the Utah Jazz denied the Blazers a shot at tying things up.
Rudy Gobert committed the violation as Lillard drove for a… [+2192 chars]",espn.com
99,Jazz's comeback win against Trail Blazers marred by controversial block by Rudy Gobert,"Damian Lillard appeared to have another late clutch field goal, but a controversial ruling meant that he left the floor furious. He wasn't the only one upset.",https://www.espn.com/nba/story/_/id/28657743/jazz-comeback-win-trail-blazers-marred-controversial-block-rudy-gobert,2020-02-08T07:00:42Z,"The entire viewing audience that tuned into Friday night's matchup between the Portland Trail Blazers and Utah Jazz was looking for a show. What the people got was a controversial finish in a game the Jazz would win 117-114.
The odds were already stacked aga… [+4437 chars]",espn.com
103,Celtics fete retiring Carter in final visit to Boston,Longtime NBA star Vince Carter got a picture of his first Boston bucket and a piece of the famed parquet floor from the old Boston Garden as retirement gifts from the Celtics.,https://www.espn.com/nba/story/_/id/28656952/picture-perfect-celts-hook-retiring-vince-carter-photo-first-nba-bucket,2020-02-08T04:53:43Z,"BOSTON -- Almost exactly 21 years ago, Vince Carter's Hall of Fame career began in an innocuous way: with a baseline jumper over fellow 1998 draftee Paul Pierce.
Friday night, before Carter -- now playing for the Atlanta Hawks in his 22nd NBA season -- playe… [+4084 chars]",espn.com
104,Celtics fete retiring Carter in final visit to Boston,Longtime NBA star Vince Carter got a picture of his first Boston bucket and a piece of the famed parquet floor from the old Boston Garden as retirement gifts from the Celtics.,https://www.espn.com/nba/story/_/id/28656952/picture-perfect-celts-hook-retiring-vince-carter-photo-first-pro-bucket,2020-02-08T04:53:43Z,"BOSTON -- Almost exactly 21 years ago, Vince Carter's Hall of Fame career began in an innocuous way: with a baseline jumper over fellow 1998 draftee Paul Pierce.
Friday night, before Carter -- now playing for the Atlanta Hawks in his 22nd NBA season -- playe… [+4084 chars]",espn.com
108,Sources: Hornets finalizing buyout for F Williams,"The Hornets are finalizing a buyout for veteran forward Marvin Williams -- clearing the way for him to become a premium target for contending teams, league sources told ESPN.",https://www.espn.com/nba/story/_/id/28655947/sources-hornets-finalizing-buyout-vet-marvin-williams,2020-02-08T02:17:50Z,"The Charlotte Hornets are finalizing a contract buyout for veteran forward Marvin Williams -- clearing the way for him to become a premium target for contending teams, league sources told ESPN on Friday.
Williams, 33, will clear waivers with the remainder of… [+604 chars]",espn.com
109,"Brand backs Brown, but makes no guarantees","While Sixers general manager Elton Brand wouldn't guarantee Brett Brown will remain the team's coach no matter what, he said Friday that he stands behind the seventh-year coach. Brand, however, is unhappy with the team's 9-19 road record.",https://www.espn.com/nba/story/_/id/28656147/sixers-gm-elton-brand-backs-brett-brown-makes-no-guarantees,2020-02-08T02:00:25Z,"PHILADELPHIA -- One day after the NBA trade deadline, Philadelphia 76ers general manager Elton Brand held a press conference addressing the state of the team. Brand said he believes in the team's roster construction and stands behind coach Brett Brown, but ex… [+1366 chars]",espn.com
